FQDN_count,subdomain_length,upper_count,lower_count,numeric_count,entropy,special_count,labels,get_labels_max,labels_average,longest_word,sld,len,subdomain,domain,predicted_label,score
99,80,23,52,16,5.428408610083844,8,7,23,13.285714285714286,eh-SIiku8BvnzbnjsJWOYDg,seg4910research,95,1,64529.eh-SIiku8BvnzbnjsJWOYDg.rL1-bKgINz9lqMBg6tw5CtI.pvjdRUmtX5lkg0LUodCAsaz.or.seg4910research.tk,0,0.54
76,56,3,21,49,4.036480919769285,3,4,48,18.25,373562643332653733613064366234366138643939373862,maliciousDomain,71,1,iYj8wEa.373562643332653733613064366234366138643939373862.maliciousDomain.com,0,0.91
108,89,30,45,22,5.3412922197523685,11,9,15,11.11111111111111,seg4910research,seg4910research,104,1,11440.GiaCraeMqDe1R.x3tu7rZ0_Z8em.2TV9XDgi32_mU.XyfSffwAdS9Pj.1WE_4kUt2CYCT.DgWhaEbjAZylI.seg4910research.tk,0,0.54
79,59,6,19,50,3.8919928413303704,4,5,47,15.0,61333162346335373934323366343439626235356366623,maliciousDomain,74,1,tzEWMFD.61333162346335373934323366343439626235356366623.433.maliciousDomain.com,0,0.69
249,230,80,113,45,5.747773759749637,11,7,63,34.714285714285715,4gZBhZIcmC0mxDRwcoFoRkpnGC84ABDnseEgVmBEkav82unGclE2vkP6IGafiaa,seg4910research,245,1,58507.4gZBhZIcmC0mxDRwcoFoRkpnGC84ABDnseEgVmBEkav82unGclE2vkP6IGafiaa.TCLGwIA4B4NCbQzZFFDnGn5xoe8JJ4VTVrx5U5boVEgF25dxBoo5-40JqY5vjCm.20vUFyPac7Yd-rw4YsIS8HmAMbQE51bxlr4bttPatAfeSFfWK-YTe5D6bu_G7h_.pcu42Ehkl8B4uvztbfvdNNsfIzkrXuZp.seg4910research.tk,0,0.53
99,80,24,45,22,5.352390555181517,8,7,23,13.285714285714286,akqGhH7Ru91ELC5idQL3kdw,seg4910research,95,1,30488.akqGhH7Ru91ELC5idQL3kdw.xhmDX-ax6tpew688ehOpYI-.mHcS6t43sFMPMjeUxRFhzNV.8e.seg4910research.tk,0,0.54
68,48,5,19,41,4.046711652773867,3,4,40,16.25,6566376264396466616261396162633536386530,maliciousDomain,63,1,6AFNuqD.6566376264396466616261396162633536386530.maliciousDomain.com,0,0.9
248,229,103,97,38,5.7882067370125085,10,7,63,34.57142857142857,DGm0pOoKolQrXYx239OtljqfwGZwlhcizcOS26T6s6OhAI9KGC2TFhSB2yysZlt,seg4910research,244,1,2256.DGm0pOoKolQrXYx239OtljqfwGZwlhcizcOS26T6s6OhAI9KGC2TFhSB2yysZlt.ccNRPTgk8qiv8cmHBeG5MX8UAAESz6KQrt8LdbIPirV10OPTPoCV4gOM-ZZAAlW.sY-HsTnYKCzT-grWp2JRDrKqENJrX9zZXse1HZEqVcjyUUojAgUNToAbUar0KPf.mXShJA7vQS0TccM8CQOo2_4OyibZey7H.seg4910research.tk,0,0.53
107,88,33,46,18,5.433865089221376,10,9,15,11.0,seg4910research,seg4910research,103,1,6146.fj3pD_9LtS03s.LoSjzyU1FqlN1.Mw-OafgAScVzJ.M1FW1ghaJUpwj.vS7VsGZkmzLIs.RXnfBIXBnKpU8.seg4910research.tk,0,0.54
107,88,34,44,18,5.363680276096826,11,9,15,11.0,seg4910research,seg4910research,103,1,1709.Xl8pE1VZEUXgF.ZWgIbTgKigV_l.FJxwoWeSU_U4j.yOl5HQwlzEx62.Kefr_djZ0XJYb.FkQYArY4a7e7z.seg4910research.tk,0,0.54
52,32,5,19,25,4.32177463214665,3,4,24,12.25,316231643536303830616564,maliciousDomain,47,1,4tAZjVS.316231643536303830616564.maliciousDomain.com,0,0.88
100,81,25,47,20,5.430853940313253,8,7,23,13.428571428571429,c8go20AJa-e49sypeWxGCtM,seg4910research,96,1,103720.c8go20AJa-e49sypeWxGCtM.sbOgrPTcli-kVoHAf2e1dlV.Q6BDGWnLp2PeRv2UajzoImf.OR.seg4910research.tk,0,0.54
53,33,5,19,26,4.139603294801235,3,4,25,12.5,4366435386365353232646632,maliciousDomain,48,1,Kf2MpGF.4366435386365353232646632.maliciousDomain.com,0,0.88
99,80,28,37,25,5.2882641355290225,9,7,23,13.285714285714286,2ea1XDZ0sWW74RmMqgkx3ud,seg4910research,95,1,28079.2ea1XDZ0sWW74RmMqgkx3ud.ChdZ3VISopZZ_40NQVBG-_1.93aVd396aDIkIiNiEZjtKB3.ci.seg4910research.tk,0,0.54
76,56,5,20,47,3.8351059377787458,4,5,29,14.4,66626333636437353461616333333,maliciousDomain,71,1,ZkESvXn.66626333636437353461616333333.761663762313261613.maliciousDomain.com,0,0.67
249,230,74,106,56,5.788150256958515,13,7,63,34.714285714285715,a10R47__sEHpkz0uC0w7A0lgJxEv5NNhYnanRP7AaWBNsvq74SaF38aIFHrv6F9,seg4910research,245,1,52455.a10R47__sEHpkz0uC0w7A0lgJxEv5NNhYnanRP7AaWBNsvq74SaF38aIFHrv6F9._DOqFUt6hhr-jp5MQHHh-5nhPmPk5zky3kwPzRenDSu_K8N61DAZghxdazluA2U.L97iudJy9eYHSaX74fUlkB6rxd0Li6Nd3BA6fb3imIoxIRfvmeUwJ_Vv4nnnbM9.Oiu7Rl8Y1JPhldptNL2wBM14qJWH72i7.seg4910research.tk,0,0.53
54,34,6,18,27,4.239175068238204,3,4,26,12.75,62376531306163313739313132,maliciousDomain,49,1,F9BPCSv.62376531306163313739313132.maliciousDomain.com,0,0.86
100,81,24,48,19,5.357173284770745,9,7,23,13.428571428571429,KjshoSmtrEQ3tGnrEEzK8AC,seg4910research,96,1,131036.KjshoSmtrEQ3tGnrEEzK8AC.aZqpGmPd52G-d-j-3NNRu5z.Fhnh0hprbASMizr2y8ePDxg.Iy.seg4910research.tk,0,0.54
59,39,4,21,31,4.287505185998201,3,4,31,14.0,c383965306231653230373038326165,maliciousDomain,54,1,2wUDkZg.c383965306231653230373038326165.maliciousDomain.com,0,0.88
100,81,36,33,24,5.228367439558381,7,7,23,13.428571428571429,kHIu3R0qg0HkcqDxzWEz49z,seg4910research,96,1,145195.kHIu3R0qg0HkcqDxzWEz49z.sLnJ3KUR0QqQfOWA7WLJN69.CI1vDHnR4YICHbRiCC-9qY9.NK.seg4910research.tk,0,0.54
64,44,4,21,36,4.038452251505074,3,4,36,15.25,653231396463366535633434336532323030,maliciousDomain,59,1,HuqwSJc.653231396463366535633434336532323030.maliciousDomain.com,0,0.91
249,230,82,113,45,5.7793525517964905,9,7,63,34.714285714285715,xrh70egvFiWVBiy47FrqNeuCMYwkKyvsPiyPs7omyBmXzt4BWrUddh4VYVkzcKK,seg4910research,245,1,19621.xrh70egvFiWVBiy47FrqNeuCMYwkKyvsPiyPs7omyBmXzt4BWrUddh4VYVkzcKK.Px7PQdEDx8L4LazItrES2r5SZh5EdCMeinI9Pkdu82IlxU4m1sE1wbDHeD1WBE4.8Ht-VicD6qHy8T_4LkZ8Kyu-w6JZmGIFjf75lAHeSosxi4EoGrLkMrDfeq5JziW.Ipi9x7wvxOCMyo4bK9ujX7OlMphIQupM.seg4910research.tk,0,0.53
52,32,1,23,25,3.9681666405523317,3,4,24,12.25,326636626366623565333831,maliciousDomain,47,1,wepiq3g.326636626366623565333831.maliciousDomain.com,0,0.89
76,56,1,22,49,3.833146373067776,4,5,33,14.4,631633266383836656262663566666430,maliciousDomain,71,1,4m3zekh.631633266383836656262663566666430.37363763616230.maliciousDomain.com,0,0.67
249,230,87,106,40,5.835724122615055,16,7,63,34.714285714285715,TZ-Gh4dl2UG5hd_FRlsbJdc8lVZE-h3-K_R8uvSlsBh2zXGiKjDWoTypJvRaix_,seg4910research,245,1,83984.TZ-Gh4dl2UG5hd_FRlsbJdc8lVZE-h3-K_R8uvSlsBh2zXGiKjDWoTypJvRaix_.lls4YazTkvK-aMbI0t7mfJwECqgK6ifVI1CcWb2caKSfU9dfLwEY5VGadxfEulB.IF9EdDhKNPsk4uXLPEgT_xs8ERrBqds4tNS74fw2trP5jPzPVKbtUxDoW2IfaLC.qisUoJQOJy1813-z5UAACV3bWqOQk-m6.seg4910research.tk,0,0.53
51,31,5,18,25,4.107454017890612,3,4,23,12.0,56533336566303930386635,maliciousDomain,46,1,G1VHbS0.56533336566303930386635.maliciousDomain.com,0,0.88
100,81,24,43,26,5.311272380112916,7,7,23,13.428571428571429,Xw_b1M4h3I1TjLSoF2trxpj,seg4910research,96,1,147215.Xw_b1M4h3I1TjLSoF2trxpj.bp0jjOUFgYCg7b6lWg7Ml4N.bl2Qxx1DOnsfWSG2LRz7y7A.x2.seg4910research.tk,0,0.54
108,89,29,44,23,5.393472516265331,12,9,15,11.11111111111111,seg4910research,seg4910research,104,1,10405.XvFPwovVxjZcQ.8Jb7mpkYXAg4Q.30RkknKGIdBhJ.ov0Pa9_hxx2YA.7o_Jt7ZYd1sHL.CcaT6s-9BY6s_.seg4910research.tk,0,0.54
249,230,89,97,51,5.814902788782892,12,7,63,34.714285714285715,mTWH5-Vxch4nTllW-anpa0EOk_1jZ4hDOPR0SMRMRrQR-yNSe21xoZfE3_lCvkS,seg4910research,245,1,85050.mTWH5-Vxch4nTllW-anpa0EOk_1jZ4hDOPR0SMRMRrQR-yNSe21xoZfE3_lCvkS.2ZR0cU2EBvr3WwCJ0OaQ7EPsy4U7xSSycEpJsi84MW4aUawc1NIWbFwyF3Y6nH6.MOzq6oLQfEMZAf505Y4h2Sm7HGoSmFhCG5cn-hrBWIV91VkkDox4mgANTjfTp3e.XRHqtNy7zbPqZrF0Ia9Ecfznqn2bbX69.seg4910research.tk,0,0.53
99,80,28,42,22,5.332611201443804,7,7,23,13.285714285714286,itYwP8i53iXA2W3bsJFx5Jd,seg4910research,95,1,83574.itYwP8i53iXA2W3bsJFx5Jd.EwZQRe0e_VDH24Z4BnAdIta.msKKaEkSi4dhyYqx4tZMCi2.Fs.seg4910research.tk,0,0.54
52,32,8,17,24,4.368051015926779,3,4,24,12.25,623235616434373532343965,maliciousDomain,47,1,TYJBAPN.623235616434373532343965.maliciousDomain.com,0,0.86
54,34,3,21,27,4.2076861128739385,3,4,26,12.75,38366664383536623765323736,maliciousDomain,49,1,HCe9ydk.38366664383536623765323736.maliciousDomain.com,0,0.88
80,60,2,22,52,3.985193046479697,4,5,35,15.2,61396632383034313664666361616530393,maliciousDomain,75,1,7qgkQiy.61396632383034313664666361616530393.5613933393861343.maliciousDomain.com,0,0.74
99,80,30,40,21,5.320782124911586,8,7,23,13.285714285714286,YQoJ8MO7uiLtrHHY3ssvDrp,seg4910research,95,1,26796.YQoJ8MO7uiLtrHHY3ssvDrp.TYfD9sc3eK1Ki95YMfIA-PQ.p-G6G71pxtAaMEJfBhPbkj1.Cs.seg4910research.tk,0,0.54
58,38,6,19,30,4.185675504443245,3,4,30,13.75,613537623365396464356665393433,maliciousDomain,53,1,egDCHLA.613537623365396464356665393433.maliciousDomain.com,0,0.86
62,42,3,25,31,4.195299941505247,3,4,34,14.75,726168345463457c217c32377c217c3764,maliciousDomain,57,1,rah4TcE.726168345463457c217c32377c217c3764.maliciousDomain.com,0,0.88
74,54,5,19,47,3.9776763676792237,3,4,46,17.75,3861643432643463383866346564333736393331356236,maliciousDomain,69,1,tpUN2GW.3861643432643463383866346564333736393331356236.maliciousDomain.com,0,0.9
58,38,4,17,34,3.9792243242529515,3,4,30,13.75,383638653732316638316665346562,maliciousDomain,53,1,H5F362L.383638653732316638316665346562.maliciousDomain.com,0,0.87
249,230,101,105,34,5.820643281517684,9,7,63,34.714285714285715,YzqUTH8zMeKIdKWpedumbLMwiMKZQCZqne4RHGoSH4gbBZzHQQ8TXM8CIXpvs-V,seg4910research,245,1,87584.YzqUTH8zMeKIdKWpedumbLMwiMKZQCZqne4RHGoSH4gbBZzHQQ8TXM8CIXpvs-V.YPP90OkOhHQ1soQv3RFomHsjofqPyVqz21Q_Y1pfLm-ATk5KZBr0nPw5LpUiGyD.YyPvHIp6rgEhfPf9YLbqNdEeetj0sStZLR1lQKsjM5mm20HXDMcCoDyDNJWihyd.NwBPCNEOemYmUjrne56fkzQX4xHARjgy.seg4910research.tk,0,0.53
249,230,80,108,47,5.819182578637327,14,7,63,34.714285714285715,qYG07ci_RM_p0-d7WebA4RQNkFf2_oFvijavM0y-eqhfngqFQpsrf7v-DtEeQ00,seg4910research,245,1,87839.qYG07ci_RM_p0-d7WebA4RQNkFf2_oFvijavM0y-eqhfngqFQpsrf7v-DtEeQ00.TVX9jj6E4zNmZQj68HfWeukuQ0liU537iAmcG2t3b4qgSf3nGNGu7zTppTXZf0P.c6j9EPLBuQoTVxCi4ylZdN0SAbnqkSNoi3reB1LRjk0RvFyZEYhkA-Xb5I4JSnd.dMqhMaMR0WwKNrNjz4XK5RJ-p2uKPcqg.seg4910research.tk,0,0.53
99,80,31,37,23,5.507552074362829,8,7,23,13.285714285714286,3p4JMFqCbbo6V-6uTl5MMbj,seg4910research,95,1,24226.3p4JMFqCbbo6V-6uTl5MMbj.n8UWXQF3bfd_ZL3PvCTIFj8.LfdPHzBfpB5NNZe7m50PCxW.j4.seg4910research.tk,0,0.54
249,230,94,112,30,5.815239547976093,13,7,63,34.714285714285715,Vowk4RcLPtMNKxOodQU351nDPuUCfPTBiDHZx0LEARmNLqJlm-F4LHg_Epm1HTt,seg4910research,245,1,22799.Vowk4RcLPtMNKxOodQU351nDPuUCfPTBiDHZx0LEARmNLqJlm-F4LHg_Epm1HTt.aIDEtsojzgelO3tR3jfJxhYI_euJzzqlygthBk_fpBGmIjV9dTCIyJWqiPIEoaM.31zfmcKX1AbTRTXirV9-Ja-ReAAimO6axhEKayPhiqMwhhAfrP2uCH4iGsbXope.vjsLVTPk7uVUzH9yfAahM-NIFzRAb9W0.seg4910research.tk,0,0.53
62,42,3,21,35,4.038997529394208,3,4,34,14.75,3262353839353331353733326266346531,maliciousDomain,57,1,rah4TcE.3262353839353331353733326266346531.maliciousDomain.com,0,0.88
100,81,34,35,22,5.446370130156184,9,7,23,13.428571428571429,fSWRyE9wm4-1Zw0sNFGoylq,seg4910research,96,1,101074.fSWRyE9wm4-1Zw0sNFGoylq.X-RV8a2XEzLA_nWFMZVhUBy.5AOcy3ex7GOPS0GL6k8UeBC.cM.seg4910research.tk,0,0.54
108,89,34,44,20,5.555360881592772,10,9,15,11.11111111111111,seg4910research,seg4910research,104,1,13725.L7aZvJOhq-y5a.ED_U4fgEdKHcj.mzcXKTzyGGA1m.ZDJuRS0BzuSfF.n65Y4XPzhfnu2.IgFvxTYQ5LqJ8.seg4910research.tk,0,0.54
100,81,27,43,22,5.357173284770745,8,7,23,13.428571428571429,OB6Eg3eDYo2i3R_CKgRyhvX,seg4910research,96,1,149961.OB6Eg3eDYo2i3R_CKgRyhvX.HSLlizRosDsxxs7kl2I5t8L.aMkvyDT56pZx1QGl1sQxKM_.Qf.seg4910research.tk,0,0.54
66,46,5,17,41,4.046097582248271,3,4,38,15.75,39336431393936346666356261323031373930,maliciousDomain,61,1,UT27N0W.39336431393936346666356261323031373930.maliciousDomain.com,0,0.91
100,81,34,36,20,5.30472215979238,10,7,23,13.428571428571429,wLGsGs-N-I2hPMLnQo6MT3K,seg4910research,96,1,149221.wLGsGs-N-I2hPMLnQo6MT3K.OF8fonPWd0fzPdLGQTpe0Et.J3JeXX3dQdVC-KefGG3_q0N.Yx.seg4910research.tk,0,0.54
249,230,81,102,52,5.854437488539209,14,7,63,34.714285714285715,6f8FwDzr5P0c5m8lVgtPFqy9HuaLxtKatEK-JG0sgOrAzVrOohJzEzT6W-gE_3r,seg4910research,245,1,38703.6f8FwDzr5P0c5m8lVgtPFqy9HuaLxtKatEK-JG0sgOrAzVrOohJzEzT6W-gE_3r.ezU3ypNYZPJHHcTCtwnQ17BHc388D0nkz1T0BMz6UEtLm92cp8DtAYIH2YBtebd.2f768Du-hMvemsZ6gwGq-HCsnSjBOaPSkiTyUqW05UI19830ObpdwRlvZ6inkgR.JP6Mf_xoLsV6TLF77l17Vpt_SX_nTiov.seg4910research.tk,0,0.53
108,89,30,43,22,5.466382729051693,13,9,15,11.11111111111111,seg4910research,seg4910research,104,1,19629._d5m8j2b-W-77.f_STTingqaNSz.Ahizo3UOqL00H.CHbGxganZ4OKj.YqlP1D1uYZHlk.g2YlDEYSnA0_Y.seg4910research.tk,0,0.54
108,89,26,47,24,5.385318955883513,11,9,15,11.11111111111111,seg4910research,seg4910research,104,1,33690.PnXO7d6nlFfZe.52lgSjl516VWP.wMYnoqDC-71af.ch-s9e0KwQpYc.tfPZ-EiHSmGOa.6zs1KtFcC1ex4.seg4910research.tk,0,0.54
100,81,28,41,19,5.327368784857282,12,7,23,13.428571428571429,hU2O7T1WZ1Z3Xg_TnM0HUfc,seg4910research,96,1,112044.hU2O7T1WZ1Z3Xg_TnM0HUfc._-vtgCs2GyRp-EUumsukkTj.Kfmv_8YdWEN3QGmameUA_nW.gS.seg4910research.tk,0,0.54
99,80,26,45,20,5.383313726783743,8,7,23,13.285714285714286,3cGrgqs952xyosI0pVEFHuA,seg4910research,95,1,99281.3cGrgqs952xyosI0pVEFHuA.KAdr5roCqFSDJ6NewJeaHGQ.BE93-shCzsD6wHp-YYm7ovd.it.seg4910research.tk,0,0.54
62,42,4,21,34,4.182143321142756,3,4,34,14.75,3965633339356461373132346266623964,maliciousDomain,57,1,WHntgBz.3965633339356461373132346266623964.maliciousDomain.com,0,0.88
99,80,32,39,17,5.44694601375677,11,7,23,13.285714285714286,W2mV5Tby3WdlQCFOaDgqkPH,seg4910research,95,1,37441.W2mV5Tby3WdlQCFOaDgqkPH.HVxlyCW8--KX8nuB0sNi-VA.CCLKangbUhPDr-NP3_vikB4.fT.seg4910research.tk,0,0.54
56,36,3,21,29,4.081547727163065,3,4,28,13.25,6434333462376639376561313634,maliciousDomain,51,1,az0coRV.6434333462376639376561313634.maliciousDomain.com,0,0.88
56,36,2,20,31,3.9043473322310227,3,4,28,13.25,3362343333646430663866613334,maliciousDomain,51,1,e6u1Yw7.3362343333646430663866613334.maliciousDomain.com,0,0.88
249,230,85,103,52,5.809512290769692,9,7,63,34.714285714285715,BFJRBR2q-pObUPcI0fQbzIrmsMG3vo0t7IXIjoVaAm63Ac9D0MVBIQUxnK2UmUl,seg4910research,245,1,73166.BFJRBR2q-pObUPcI0fQbzIrmsMG3vo0t7IXIjoVaAm63Ac9D0MVBIQUxnK2UmUl.RtKzqb-RkqpLMMp1IY5k1g0G7Tm53bn4n98rxrWeRjluXf14ZrmWsvyZFrwOlQX.bQA0hOCmd6XUM7jL793InsPHTeXCSckLyyUNwzag2B7Lq5xn77Kx56SNtXymkXF.y0dQ5IpHT52k34seYMx_a8CfNavorTq7.seg4910research.tk,0,0.53
